timestamp,station_id,temperature,temperature_corrected,pressure,pressure_corrected,humidity,humidity_corrected,anomaly_score,confidence,severity,root_cause_label,is_flagged,is_anomaly,anomaly_type
2026-08-29 07:00:00,AWS_BLR,21.1,21.1,912.2,912.2,88.0,88.0,0.010214166782517945,0.005107083391258972,Normal,none,False,False,none
2026-08-29 08:00:00,AWS_DELHI,29.5,29.5,977.9,977.9,71.0,71.0,0.023766775605422053,0.011883387802711027,Normal,none,False,False,none
2026-08-29 08:00:00,AWS_KOCHI,27.3,27.3,1012.6,1012.6,82.0,82.0,0.005727175996316566,0.002863587998158283,Normal,none,False,False,none
2026-08-29 08:00:00,AWS_JAISALMER,26.0,26.0,976.9,976.9,78.0,78.0,0.015309386426966224,0.007654693213483112,Normal,none,False,False,none
2026-08-29 08:00:00,AWS_BLR,22.7,22.7,912.9,912.9,78.0,78.0,0.013126300337530674,0.006563150168765337,Normal,none,False,False,none
2026-08-29 08:00:00,AWS_GURGAON,29.1,29.1,977.1,977.1,72.0,72.0,0.012692981406158143,0.006346490703079071,Normal,none,False,False,none
2026-08-29 08:00:00,AWS_SHIMLA,20.7,19.95,807.6,806.3,81.0,90.0,0.25898184999000184,0.29615759166166755,Low,Sensor fault: reading outside physically possible range,True,False,none
2026-08-29 08:00:00,AWS_NOIDA,29.9,29.9,979.4,979.4,72.0,72.0,0.02840251265084313,0.014201256325421565,Normal,Localized fault: disagrees with neighboring stations,False,False,none
2026-08-29 09:00:00,AWS_BLR,24.0,24.0,913.4,913.4,71.0,71.0,0.023661597044191778,0.011830798522095889,Normal,none,False,False,none
2026-08-29 09:00:00,AWS_DELHI,30.6,30.6,978.2,978.2,67.0,67.0,0.0739776749142616,0.0369888374571308,Normal,Data spike: implausible instantaneous jump,False,False,none
2026-08-29 09:00:00,AWS_KOCHI,28.1,28.1,1013.1,1013.1,80.0,80.0,0.012513419462828327,0.006256709731414164,Normal,none,False,False,none
2026-08-29 09:00:00,AWS_SHIMLA,22.5,19.2,808.4,806.3,70.0,92.0,0.29550299162736887,0.3144181624803511,Low,Sensor fault: reading outside physically possible range,True,False,none
2026-08-29 09:00:00,AWS_NOIDA,30.9,30.9,979.8,979.8,68.0,68.0,0.07174526967975708,0.2025393015065452,Normal,Data spike: implausible instantaneous jump,False,False,none
2026-08-29 09:00:00,AWS_JAISALMER,27.6,27.6,977.3,977.3,69.0,69.0,0.053767971108612415,0.19355065222097287,Normal,Data spike: implausible instantaneous jump,False,False,none
2026-08-29 09:00:00,AWS_GURGAON,30.2,30.2,977.5,977.5,69.0,69.0,0.08461505309674339,0.20897419321503835,Normal,Data spike: implausible instantaneous jump,False,False,none
2026-08-29 10:00:00,AWS_KOCHI,28.9,28.9,1013.1,1013.1,77.0,77.0,0.01124525367780964,0.00562262683890482,Normal,none,False,False,none
2026-08-29 10:00:00,AWS_DELHI,31.8,31.8,978.4,978.4,63.0,63.0,0.05833303868534098,0.02916651934267049,Normal,Data spike: implausible instantaneous jump,False,False,none
2026-08-29 10:00:00,AWS_NOIDA,32.1,32.1,980.0,980.0,64.0,64.0,0.05085089685339981,0.025425448426699904,Normal,Data spike: implausible instantaneous jump,False,False,none
2026-08-29 10:00:00,AWS_JAISALMER,29.1,29.1,977.5,977.5,64.0,64.0,0.016425483094576542,0.008212741547288271,Normal,none,False,False,none
2026-08-29 10:00:00,AWS_BLR,25.5,25.5,913.6,913.6,66.0,66.0,0.022079097001011475,0.011039548500505737,Normal,none,False,False,none
2026-08-29 10:00:00,AWS_GURGAON,31.4,31.4,977.6,977.6,65.0,65.0,0.05363255842961132,0.02681627921480566,Normal,Data spike: implausible instantaneous jump,False,False,none
2026-08-29 10:00:00,AWS_SHIMLA,23.7,19.15,808.9,806.3,65.0,93.0,0.27679078300525456,0.4717287248359606,Low,Sensor fault: reading outside physically possible range,True,False,none
2026-08-29 11:00:00,AWS_DELHI,33.3,33.3,978.4,978.4,57.0,57.0,0.08016747792577342,0.20675040562955338,Normal,Unclassified multivariate anomaly (novel pattern flagged by ML),False,False,none
2026-08-29 11:00:00,AWS_BLR,25.7,25.7,913.4,913.4,65.0,65.0,0.002742110945651357,0.0013710554728256785,Normal,none,False,False,none
2026-08-29 11:00:00,AWS_KOCHI,28.2,28.2,1013.1,1013.1,79.0,79.0,0.001968363452934363,0.0009841817264671815,Normal,none,False,False,none
2026-08-29 11:00:00,AWS_GURGAON,32.7,32.7,977.6,977.6,59.0,59.0,0.06453326082928927,0.032266630414644636,Normal,Data spike: implausible instantaneous jump,False,False,none
2026-08-29 11:00:00,AWS_JAISALMER,30.6,30.6,977.6,977.6,60.0,60.0,0.013876116879994382,0.006938058439997191,Normal,none,False,False,none
2026-08-29 11:00:00,AWS_SHIMLA,24.9,19.1,809.3,806.3,60.0,94.0,0.30302655499249687,0.48484661082958175,Low,Sensor fault: reading outside physically possible range,True,False,none
2026-08-29 11:00:00,AWS_NOIDA,33.4,33.4,980.0,980.0,58.0,58.0,0.06029723358782269,0.030148616793911346,Normal,Data spike: implausible instantaneous jump,False,False,none
